,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
p001,m,hap,60.7305936073,31.5068493151,-41.5525114155,-63.4703196347,-70.7762557078,-92.6940639269,9.58904109589,-92.6940639269,-5.02283105023,9.58904109589,104.566210046,31.5068493151,16.8949771689,-56.1643835616,9.58904109589,-41.5525114155,97.2602739726,-70.7762557078,9.58904109589,68.0365296804,-19.6347031963,89.9543378995,206.849315068,-19.6347031963,126.484018265,-63.4703196347,-70.7762557078,155.707762557,60.7305936073,192.237442922,9.58904109589,-70.7762557078,-92.6940639269,-100.0,31.5068493151,148.401826484,-100.0,-100.0,-56.1643835616,16.8949771689,89.9543378995,-48.8584474886,-100.0,-100.0,9.58904109589,-48.8584474886,-100.0,38.8127853881
p001,m,ntr,-100.0,-100.0,-100.0,-100.0,-100.0,5.62347188264,-100.0,263.814180929,52.5672371638,-17.8484107579,-41.3202933985,-100.0,169.926650367,-6.11246943765,-41.3202933985,-41.3202933985,-41.3202933985,76.0391198044,-64.7921760391,-41.3202933985,-17.8484107579,216.870415648,76.0391198044,-64.7921760391,-76.5281173594,-6.11246943765,17.3594132029,-100.0,76.0391198044,29.0953545232,-100.0,-17.8484107579,99.511002445,17.3594132029,158.190709046,122.982885086,-76.5281173594,29.0953545232,5.62347188264,-100.0,228.606356968,17.3594132029,-100.0,111.246943765,76.0391198044,-17.8484107579,-100.0,-76.5281173594
p001,m,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,m,sup,-25.9640102828,-100.0,-100.0,-38.3033419023,171.46529563,109.768637532,-100.0,-100.0,109.768637532,-100.0,171.46529563,-25.9640102828,-38.3033419023,-100.0,109.768637532,-25.9640102828,245.501285347,-25.9640102828,282.519280206,35.7326478149,146.786632391,208.483290488,-100.0,48.0719794344,-25.9640102828,-100.0,-100.0,-100.0,-100.0,245.501285347,-25.9640102828,-100.0,208.483290488,-100.0,-100.0,-25.9640102828,-100.0,35.7326478149,-25.9640102828,-100.0,-25.9640102828,-100.0,183.804627249,-25.9640102828,-38.3033419023,-100.0,-38.3033419023,-100.0
p002,f,ang,-91.7667238422,-34.1337907376,-9.43396226415,-100.0,-100.0,-42.3670668954,-91.7667238422,72.8987993139,-100.0,-91.7667238422,81.1320754717,-1.20068610635,-100.0,114.065180103,196.397941681,-100.0,-91.7667238422,-100.0,130.531732419,122.298456261,72.8987993139,-100.0,-34.1337907376,-34.1337907376,-91.7667238422,-42.3670668954,517.495711835,-91.7667238422,130.531732419,81.1320754717,-25.9005145798,-34.1337907376,-100.0,-100.0,-100.0,31.7324185249,72.8987993139,-100.0,122.298456261,-42.3670668954,-100.0,-25.9005145798,-100.0,303.430531732,-100.0,130.531732419,138.765008576,-42.3670668954
p002,f,dis,-100.0,352.173913043,91.3043478261,-100.0,-100.0,21.7391304348,352.173913043,-30.4347826087,-100.0,-100.0,-100.0,-100.0,195.652173913,108.695652174,-100.0,-30.4347826087,-30.4347826087,-100.0,-100.0,-100.0,-100.0,230.434782609,317.391304348,91.3043478261,-100.0,195.652173913,-100.0,-100.0,-100.0,-100.0,352.173913043,-100.0,-100.0,21.7391304348,178.260869565,-30.4347826087,-100.0,-100.0,108.695652174,21.7391304348,-100.0,-100.0,21.7391304348,21.7391304348,-30.4347826087,-30.4347826087,-100.0,-100.0
p002,f,fea,-6.79611650485,-100.0,-100.0,-100.0,-72.0388349515,-100.0,-72.0388349515,142.330097087,-72.0388349515,160.970873786,496.504854369,-62.7184466019,-62.7184466019,-44.0776699029,114.368932039,133.009708738,-44.0776699029,-100.0,86.4077669903,105.048543689,-100.0,-44.0776699029,30.4854368932,-44.0776699029,-72.0388349515,-44.0776699029,-100.0,-72.0388349515,30.4854368932,21.1650485437,49.1262135922,-62.7184466019,-62.7184466019,-72.0388349515,77.0873786408,11.8446601942,-62.7184466019,-72.0388349515,-44.0776699029,198.252427184,-62.7184466019,21.1650485437,-16.1165048544,-62.7184466019,86.4077669903,-44.0776699029,123.689320388,86.4077669903
p002,f,hap,64.9289099526,64.9289099526,59.2417061611,-26.0663507109,-20.3791469194,-100.0,70.6161137441,-43.1279620853,-43.1279620853,30.8056872038,64.9289099526,-14.691943128,-14.691943128,-100.0,-100.0,-26.0663507109,-60.1895734597,2.36966824645,-94.3127962085,-37.4407582938,8.05687203791,110.426540284,-100.0,-100.0,-100.0,87.6777251185,-26.0663507109,36.4928909953,-20.3791469194,30.8056872038,-26.0663507109,-100.0,93.36492891,30.8056872038,76.3033175355,138.862559242,-100.0,47.8672985782,-20.3791469194,64.9289099526,-20.3791469194,195.734597156,-94.3127962085,-100.0,81.990521327,-94.3127962085,53.5545023697,167.298578199
p002,f,ntr,-21.568627451,-21.568627451,17.6470588235,25.4901960784,17.6470588235,-100.0,-100.0,103.921568627,-100.0,9.80392156863,96.0784313725,-52.9411764706,88.2352941176,205.882352941,-29.4117647059,-92.1568627451,-76.4705882353,-92.1568627451,-100.0,-92.1568627451,-100.0,25.4901960784,17.6470588235,9.80392156863,9.80392156863,9.80392156863,-52.9411764706,-100.0,-100.0,-21.568627451,-52.9411764706,174.509803922,25.4901960784,33.3333333333,9.80392156863,-92.1568627451,-100.0,-45.0980392157,33.3333333333,-100.0,143.137254902,-100.0,370.588235294,17.6470588235,-21.568627451,-100.0,323.529411765,96.0784313725
p002,f,sad,174.698795181,-100.0,-100.0,-100.0,-100.0,102.409638554,-100.0,246.987951807,-100.0,102.409638554,246.987951807,-27.7108433735,-100.0,-100.0,-100.0,-27.7108433735,-100.0,-100.0,174.698795181,-100.0,-100.0,-100.0,-100.0,102.409638554,102.409638554,-27.7108433735,59.0361445783,-27.7108433735,-100.0,333.734939759,-27.7108433735,246.987951807,102.409638554,-100.0,449.397590361,-27.7108433735,-100.0,131.325301205,-100.0,-100.0,-27.7108433735,-100.0,-100.0,-100.0,59.0361445783,-100.0,59.0361445783,-100.0
p002,f,sup,132.421052632,-29.2631578947,-19.1578947368,-100.0,142.526315789,-100.0,-100.0,-19.1578947368,31.3684210526,-69.6842105263,-69.6842105263,284.0,92.0,-69.6842105263,61.6842105263,-100.0,162.736842105,-9.05263157895,162.736842105,-100.0,-100.0,-69.6842105263,-79.7894736842,132.421052632,-69.6842105263,-79.7894736842,61.6842105263,-19.1578947368,-100.0,51.5789473684,172.842105263,132.421052632,-100.0,-100.0,-100.0,-100.0,61.6842105263,122.315789474,21.2631578947,-9.05263157895,-69.6842105263,11.1578947368,-19.1578947368,21.2631578947,31.3684210526,-100.0,-19.1578947368,31.3684210526
