,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup
,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p022,36.0119047619,32.2916666667,,,,,,8.33333333333,40.7196969697,,68.75,,,64.5833333333,27.0833333333,18.75,,,47.9166666667,,28.8461538462,,,,17.4479166667,,,,,,,10.4166666667,32.8869047619,43.75,,14.5833333333,66.6666666667,35.4166666667,6.25,,39.5833333333,,,,,,,,23.4375,27.2569444444,,,,,61.4583333333,,21.875,34.2013888889,,,,,8.33333333333,8.33333333333,33.3333333333,52.0833333333,,10.4166666667,,30.9027777778,,,,18.359375,,,,,,21.5277777778,,36.1979166667,27.7777777778,23.9583333333,6.25,,27.0833333333,,,34.5833333333,23.9583333333,,,,,,,22.265625
p023,22.3214285714,27.0833333333,,,14.5833333333,,,,21.09375,,,,,,,,44.2708333333,,,,48.1770833333,,,,21.2239583333,,,,43.75,,,,44.7916666667,58.3333333333,,38.5416666667,56.25,35.4166666667,,,43.0555555556,2.08333333333,,,20.8333333333,,,,41.9444444444,32.6388888889,40.2777777778,47.9166666667,,,51.6666666667,2.08333333333,,24.8611111111,16.6666666667,,,,,,,34.6153846154,,,34.375,41.6666666667,,,,19.6614583333,,,,,,,,40.1388888889,25.0,,27.0833333333,,44.4444444444,,,43.5606060606,,,,29.1666666667,,,,33.75
p024,25.78125,,,,,,,17.3611111111,18.5897435897,,,,,,,,41.6666666667,,,,43.0555555556,,,,23.3072916667,,,,,,,,43.0555555556,16.6666666667,,,,43.75,,45.8333333333,29.8611111111,54.1666666667,,,,,,,29.4270833333,27.0833333333,,,,,,,16.6666666667,21.1538461538,,,,,,52.0833333333,,43.4523809524,,,,20.8333333333,,,,27.4739583333,,,,,,42.3611111111,,35.2430555556,20.8333333333,,,,58.3333333333,,14.5833333333,42.3611111111,37.5,,23.6111111111,,,,,27.5641025641
p025,21.8055555556,52.0833333333,,,,,,28.125,28.9351851852,,16.6666666667,,,,,25.0,35.2272727273,,,,41.6666666667,,,,20.9722222222,37.5,,,,,,,35.0,45.8333333333,,41.6666666667,,37.5,,,33.7121212121,,,,,,,,28.90625,26.4583333333,51.3888888889,,,,45.8333333333,,26.5625,23.2638888889,,,,,,,39.5833333333,38.1944444444,,39.5833333333,12.5,39.2857142857,,,,19.4010416667,,,,,,52.0833333333,,39.0151515152,40.625,,,,45.8333333333,,54.1666666667,43.5416666667,,,,25.0,,,,32.3717948718
p026,17.4107142857,27.0833333333,,12.5,,,,15.9722222222,17.6282051282,,,,,,,,25.0,4.16666666667,,18.75,24.4318181818,29.1666666667,2.08333333333,,11.6319444444,20.8333333333,,,,52.0833333333,,,23.8888888889,,,47.9166666667,,27.0833333333,,16.6666666667,25.2314814815,,,,23.9583333333,,,,24.4047619048,23.9583333333,25.0,,,,25.5208333333,,8.33333333333,17.3076923077,,,,20.8333333333,,,,29.5833333333,,31.25,,27.5,,,21.875,16.8154761905,,,,25.0,,,,30.0347222222,13.1944444444,,,,27.9166666667,,,16.6666666667,27.7777777778,,,19.2708333333,,,,23.0902777778
p027,11.6666666667,18.75,,,,,,10.4166666667,15.3645833333,,,,,18.75,8.33333333333,23.9583333333,23.9583333333,10.4166666667,13.5416666667,36.4583333333,11.25,,,,12.890625,,,,16.6666666667,,,4.16666666667,22.4537037037,20.8333333333,8.33333333333,20.0,,,,6.25,23.5416666667,,,,14.5833333333,,,37.5,26.1217948718,16.9642857143,,,,,25.6944444444,,7.8125,14.1203703704,,,,28.125,8.33333333333,8.33333333333,16.6666666667,24.5833333333,,18.75,14.5833333333,19.3452380952,,,,14.3229166667,,,,8.33333333333,,14.5833333333,,19.6428571429,22.3958333333,22.9166666667,,14.5833333333,17.0138888889,,,25.0,14.5833333333,,20.3125,10.4166666667,,,,17.6136363636
p028,19.3452380952,20.8333333333,,,,,,28.125,21.0069444444,,,,,,29.1666666667,,33.3333333333,16.6666666667,,,38.3333333333,,,,14.9739583333,,,,,,23.6111111111,,27.5,27.0833333333,,31.7708333333,,24.4791666667,,27.0833333333,28.2738095238,,,,22.9166666667,,,,27.3148148148,22.9166666667,56.25,,,,,,19.7916666667,24.8511904762,,,,,,33.3333333333,25.0,33.3333333333,,22.9166666667,,20.8333333333,,,,15.8854166667,,,,,,39.5833333333,,27.7777777778,14.5833333333,,26.0416666667,33.3333333333,34.7222222222,,,33.9285714286,22.9166666667,,18.75,27.0833333333,,,,29.0178571429
p029,18.6111111111,,,,,,16.6666666667,13.5416666667,19.696969697,10.4166666667,,,,28.125,,12.5,,12.5,29.1666666667,31.25,18.75,,,,17.96875,,,,,27.0833333333,,,30.2083333333,31.25,,12.5,43.75,30.5555555556,,17.7083333333,41.6666666667,23.9583333333,,,,,,,22.0052083333,24.6527777778,25.0,,,33.3333333333,18.75,22.9166666667,13.3333333333,19.3452380952,33.3333333333,8.33333333333,,,21.875,,8.33333333333,22.9166666667,,18.75,,27.0833333333,,,,23.046875,,,,,,,,32.6388888889,,25.0,18.75,26.0416666667,,,22.9166666667,,37.9166666667,,22.9166666667,,,,,24.8611111111
p030,9.77564102564,10.4166666667,,,,,,14.2857142857,11.8055555556,,,,,,11.8055555556,,26.0416666667,,,34.375,15.9722222222,,,,12.7604166667,,,,14.5833333333,,,,17.4679487179,52.0833333333,,11.4583333333,10.4166666667,17.7083333333,,12.5,21.875,,,,21.5277777778,,20.8333333333,,12.6736111111,10.625,14.5833333333,40.625,,,13.8888888889,,,11.0677083333,,,,,,,,16.6666666667,,,12.5,21.5277777778,,,,11.5885416667,,,,,17.7083333333,,,20.1388888889,23.4375,,26.0416666667,28.125,17.5595238095,,12.5,17.3611111111,8.33333333333,,7.29166666667,4.16666666667,,,,13.8257575758
p031,12.0535714286,6.25,,14.5833333333,,,,14.5833333333,11.4583333333,,,,,,,,22.9166666667,,,,25.5952380952,,,,10.6944444444,18.75,,,,,27.0833333333,,19.7222222222,,,11.4583333333,,25.6944444444,,25.5208333333,18.0555555556,35.4166666667,,,,,,,20.4427083333,17.0138888889,30.3571428571,,,,20.8333333333,,,13.0555555556,6.25,,,,,,,23.2638888889,,,,26.5625,,,10.4166666667,10.2777777778,,,,,,20.8333333333,,19.6180555556,22.9166666667,,,29.1666666667,30.9895833333,,,35.4166666667,18.75,,,23.4375,,,,18.9236111111
