,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.4594992636,13.1075110457,-24.0058910162,37.8497790869,55.5228276878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p030,0.0,0.0,0.0,0.0,0.0,18.9161290323,-84.5161290323,-100.0,-11.5207373272,75.4838709677,34.4,260.0,20.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,6.66666666667,-3.58974358974,-11.7948717949,-9.74358974359,53.1623931624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.872180451128,-29.3233082707,-15.7894736842,-10.2040816327,120.551378446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0620871863,-12.8137384412,31.571994716,26.8163804491,-11.2285336856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.4210526316,-15.1315789474,-46.7105263158,64.0977443609,-36.8421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p034,0.0,0.0,0.0,0.0,0.0,-42.5222929936,-31.2101910828,106.369426752,24.4767970883,164.968152866,0.0,0.0,0.0,0.0,0.0,92.0,-100.0,-100.0,-100.0,-100.0,-2.05217391304,-54.7826086957,-51.3043478261,0.372670807453,122.608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p035,44.0,200.0,200.0,-100.0,-100.0,-5.32718894009,-66.8202764977,-83.4101382488,24.818959842,84.331797235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7572815534,-100.0,-53.3980582524,-33.4257975035,70.8737864078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,0.0,-8.8813559322,1.69491525424,-100.0,-30.2663438257,279.661016949,22.1818181818,9.09090909091,118.181818182,-37.6623376623,-100.0,0.0,0.0,0.0,0.0,0.0,7.33493975904,-88.4337349398,-62.4096385542,7.40103270224,38.7951807229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,0.0,-10.7296137339,-79.3991416309,-12.4463519313,23.6051502146,48.7839771102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.5217391304,-47.8260869565,4.34782608696,19.2546583851,108.695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p038,0.0,0.0,0.0,0.0,0.0,-4.0,-45.4545454545,-45.4545454545,-6.49350649351,118.181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.8857142857,-25.7142857143,25.7142857143,28.9795918367,29.5238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.5454545455,45.4545454545,115.909090909,-9.09090909091,12.1212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p040,0.0,0.0,0.0,0.0,0.0,-23.2,20.0,20.0,-31.4285714286,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.9537892791,-13.4935304991,26.4325323475,36.2556113018,-31.977818854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,-23.2,20.0,20.0,71.4285714286,-100.0,-12.7272727273,118.181818182,9.09090909091,-6.49350649351,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.96587030717,-13.9931740614,-11.9453924915,1.21891760117,52.9010238908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p042,0.0,0.0,0.0,0.0,0.0,-22.1621621622,-56.7567567568,18.9189189189,32.8185328185,72.972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.28205128205,-17.9487179487,-28.2051282051,8.42490842491,70.9401709402,-10.1276595745,146.808510638,146.808510638,-17.3252279635,36.170212766,0.0,0.0,0.0,0.0,0.0
p043,0.0,0.0,0.0,0.0,0.0,-44.2580645161,-100.0,-22.5806451613,21.6589861751,364.516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4055299539,-55.7603686636,10.599078341,13.7590520079,62.2119815668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
