,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768268715383,7.25388601036,25.2405625463,-15.4404145078,0.0,0.0,0.0,0.0
p066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1292266488,-100.0,-100.0,25.8252427184,-31.0344827586,100.0,-42.8571428571,60.0,0.0,0.0,0.0,0.0,-17.6227554426,110.138248848,56.9453587887,-23.3179723502,0.0,0.0,0.0,0.0
p068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0492610837,-82.8571428571,7.75510204082,-79.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8895919013,43.119266055,6.94626474443,5.6880733945,0.0,0.0,0.0,0.0
p069,0.0,0.0,0.0,0.0,18.2266009852,-100.0,-100.0,37.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.2101192394,27.1028037383,50.6008010681,12.8971962617,0.0,0.0,0.0,0.0
p070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8602133911,50.6726457399,20.6918641896,17.3094170404,0.0,0.0,0.0,0.0
p071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.7299142307,41.6243654822,50.5438723713,-6.80203045685,0.0,0.0,0.0,0.0
p072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.295464301,67.6348547718,15.708358032,15.5186721992,0.0,0.0,0.0,0.0
p073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.88034898214,37.3493975904,37.9690189329,-17.3012048193,0.0,0.0,0.0,0.0
p074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.9146862989,95.9183673469,46.4005382373,-1.28728414443,0.0,0.0,0.0,0.0
p075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0451916899,81.8633540373,32.8837622005,32.3726708075,0.0,0.0,0.0,0.0
p076,65.5172413793,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1568627451,0.392156862745,20.1120448179,22.3529411765,0.0,0.0,0.0,0.0
p077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7451175858,68.7253613666,77.510794068,11.011826544,0.0,0.0,0.0,0.0
p078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2413793103,71.6247139588,31.0232101994,10.3890160183,0.0,0.0,0.0,0.0
p079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6136041568,70.9589041096,55.9295499022,-18.4657534247,0.0,0.0,0.0,0.0
p080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6376573618,47.619047619,17.0068027211,-0.31746031746,0.0,0.0,0.0,0.0
p081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1132645356,34.8905109489,48.1543274244,-9.60583941606,0.0,0.0,0.0,0.0
p082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.1528336778,-12.9337539432,66.5615141956,0.694006309148,0.0,0.0,0.0,0.0
p083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3761755486,9.09090909091,-37.6623376623,-56.3636363636,-100.0,-100.0,-100.0,380.0,0.0,0.0,0.0,0.0,-15.7972691507,-9.79865771812,58.3125599233,22.4161073826,0.0,0.0,0.0,0.0
p084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.91562729274,19.6808510638,28.5714285714,5.95744680851,0.0,0.0,0.0,0.0
p085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.97473019216,34.3511450382,-1.41766630316,-7.17557251908,0.0,0.0,0.0,0.0
p086,24.1379310345,-100.0,-100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.69649096157,33.9207048458,64.1283826306,-17.5330396476,0.0,0.0,0.0,0.0
p087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.89481994601,109.158050222,35.7248364634,-34.7710487445,0.0,0.0,0.0,0.0
p088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9655172414,-100.0,-31.4285714286,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1932550208,-37.3626373626,47.8806907378,8.79120879121,0.0,0.0,0.0,0.0
p089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.34598667053,61.3445378151,47.8991596639,0.168067226891,0.0,0.0,0.0,0.0
p090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5561639781,-43.347639485,-100.0,48.3261802575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.5383882644,-35.9116022099,89.4238358327,30.8287292818,0.0,0.0,0.0,0.0
p091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31643002028,19.1176470588,23.5294117647,-28.5294117647,0.0,0.0,0.0,0.0
p092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4039408867,-100.0,-2.04081632653,2.85714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.88552121634,31.4121037464,14.6150679292,-3.17002881844,0.0,0.0,0.0,0.0
p093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44827586207,-100.0,-100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92585718472,15.5807365439,5.86806960745,10.821529745,0.0,0.0,0.0,0.0
p094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1467993773,-3.146374829,14.4420558921,17.537619699,0.0,0.0,0.0,0.0
p095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.6140849397,57.6837416481,65.70155902,11.714922049,0.0,0.0,0.0,0.0
p096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3761755486,-100.0,-100.0,30.9090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.812104152,104.081632653,69.0962099125,20.8163265306,0.0,0.0,0.0,0.0
