,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p028,68.4210526316,-100.0,128.571428571,33.3333333333,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.4857372439,16.2213740458,7.30643402399,11.4503816794,-58.7786259542
p029,-13.2265446224,-15.2173913043,34.1614906832,39.1304347826,46.0869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3409610984,-16.5217391304,66.9565217391,14.7826086957,-100.0,89.4736842105,-25.0,-100.0,-100.0,-100.0,-30.5263157895,15.3125,30.7142857143,25.0,-100.0
p030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88311778131,-9.32982917214,21.6444527877,-5.3876478318,0.919842312746
p031,0.0,0.0,0.0,0.0,0.0,-15.7894736842,0.0,128.571428571,33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08228317272,-6.19718309859,-10.1810865191,12.1126760563,-35.7746478873
p032,-36.8421052632,-100.0,71.4285714286,200.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.19579230715,16.2853297443,7.05633532013,-20.3230148048,-80.6191117093
p033,-22.5806451613,-41.935483871,88.0184331797,61.2903225806,209.677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.26315789474,-25.0,71.4285714286,50.0,-100.0,-59.1084140506,66.9623059867,-51.3462147608,12.6385809313,-46.7849223947
p034,0.0,0.0,0.0,0.0,0.0,-8.13397129187,63.6363636364,-37.6623376623,-63.6363636364,-100.0,0.0,0.0,0.0,0.0,0.0,-15.7894736842,0.0,-100.0,33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.59448957965,22.3154362416,4.69798657718,-12.0805369128,-23.4899328859
p035,-26.8334771355,-57.3770491803,132.318501171,127.322404372,293.442622951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.9487179487,-12.8205128205,40.6593406593,47.0085470085,166.666666667
p036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5789473684,-60.0,82.8571428571,6.66666666667,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.75580844,42.3423423423,19.4337194337,-0.3003003003,44.1441441441
p037,-12.030075188,14.2857142857,36.7346938776,1.19047619048,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.1203598387,26.7190569745,-0.308728599495,-1.76817288802,65.0294695481
