,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p029,-13.4465534466,10.7692307692,-12.7272727273,21.3986013986,14.965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14285714286,-25.0,200.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p030,-15.3113553114,-14.8717948718,-38.4615384615,-21.3675213675,85.641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.81458966565,121.276595745,-100.0,47.5177304965,-40.4255319149
p031,-15.1799020651,36.8107302534,68.1073025335,25.1862891207,15.3502235469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04081632653,-14.2857142857,-100.0,71.4285714286,-100.0,-42.8571428571,100.0,-100.0,33.3333333333,100.0
p032,-1.2315270936,6.89655172414,55.1724137931,-8.04597701149,16.3793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.8571428571,100.0,700.0,33.3333333333,100.0
p033,-31.1004784689,32.0574162679,125.837320574,39.7129186603,49.2822966507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49450549451,84.6153846154,-100.0,23.0769230769,-53.8461538462
p034,-17.2300981461,15.6488549618,110.687022901,9.16030534351,46.5648854962,71.4285714286,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.8571428571,300.0,700.0,166.666666667,-100.0
p035,-8.62731400629,30.5623471883,99.511002445,4.64547677262,23.2273838631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.8095238095,33.3333333333,166.666666667,33.3333333333,33.3333333333
p036,-13.3834586466,32.6315789474,91.2781954887,9.47368421053,32.6315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348432055749,31.7073170732,231.707317073,10.5691056911,-17.0731707317
p037,-8.37438423645,-20.9359605911,30.0492610837,-12.8078817734,48.5221674877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.4285714286,20.0,-100.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0
p038,1.96078431373,35.9477124183,83.0065359477,8.93246187364,-20.2614379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2857142857,-50.0,0.0,-50.0,25.0
