,ang,ang,ang,fea,fea,fea,ntr,ntr,ntr,sad,sad,sad,sup,sup,sup,hap,hap,hap,dis,dis,dis
,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4
,,,,,,,,,,,,,,,,,,,,,
p046,-3.96080032666,56.2386980108,-27.0886075949,0.0,0.0,0.0,0.0,0.0,0.0,-7.92258064516,-25.0285714286,42.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p047,-39.3822923816,63.4042553191,77.7021276596,26.6862170088,-100.0,-12.7272727273,16.1290322581,71.4285714286,-100.0,3.65771359158,-13.927077107,-1.589958159,0.0,0.0,0.0,-22.5806451613,242.857142857,-100.0,-5.88235294118,168.907563025,-100.0
p048,23.8709677419,37.1428571429,-100.0,-13.8397502601,63.133640553,-1.29032258065,15.8143194335,-60.9756097561,-6.34146341463,20.4301075269,-100.0,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,82.8571428571,-68.0
p049,0.0,0.0,0.0,-14.6014915985,31.7946677278,23.008356546,0.0,0.0,0.0,23.8709677419,-54.2857142857,-36.0,-22.5806451613,71.4285714286,20.0,0.0,0.0,0.0,0.0,0.0,0.0
p050,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,128.571428571,-100.0,-15.7340355497,-4.37317784257,51.8367346939,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,128.571428571,-100.0
p051,0.0,0.0,0.0,-22.0875282515,-34.4858962693,92.6114649682,0.0,0.0,0.0,-17.2617581876,30.8615049073,31.9083969466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p052,-100.0,585.714285714,-100.0,-24.0413877054,85.4447439353,14.7169811321,0.0,0.0,0.0,11.8868758285,-23.6790606654,-20.2739726027,-48.3870967742,357.142857143,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
p053,0.0,0.0,0.0,-31.1827956989,52.380952381,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5207373272,-51.0204081633,71.4285714286
p054,-16.8831168831,-34.693877551,76.6233766234,-23.3955857385,152.631578947,-34.3157894737,0.0,0.0,0.0,-7.09677419355,60.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6099706745,24.6753246753,-56.3636363636
p055,0.0,0.0,0.0,-29.6187683284,87.012987013,30.9090909091,0.0,0.0,0.0,0.950527655116,-60.2253894597,39.211136891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p056,3.22580645161,128.571428571,-100.0,-32.3520200438,13.1761442441,91.067961165,0.0,0.0,0.0,-7.85492983415,-34.1404358354,48.2485875706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p057,-19.0615835777,24.6753246753,41.8181818182,5.94227504244,-81.954887218,38.9473684211,0.0,0.0,0.0,-1.78515502662,-4.57697642164,8.73786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
