,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5778894472,43.216080402,55.7788944724,6.73366834171,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.4395318596,109.102730819,48.7646293888,8.60858257477,0.0,0.0,0.0,0.0
p040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6705577173,7.39299610895,41.1154345006,24.513618677,0.0,0.0,0.0,0.0
p041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,50.0,-100.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.88494492044,4.28396572827,2.81517747858,-4.82252141983,0.0,0.0,0.0,0.0
p042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1428571429,-100.0,-100.0,-31.4285714286,14.2857142857,-100.0,-100.0,37.1428571429,0.0,0.0,0.0,0.0,-7.74526678141,32.1858864028,29.4320137694,-9.94836488812,0.0,0.0,0.0,0.0
p043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.77075098814,18.5770750988,37.022397892,-8.93280632411,0.0,0.0,0.0,0.0
p044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8703976436,14.8748159057,56.7010309278,7.45213549337,0.0,0.0,0.0,0.0
p045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5752212389,-1.76991150442,24.7787610619,31.6814159292,0.0,0.0,0.0,0.0
p046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.4668587896,104.034582133,91.3544668588,-19.7694524496,0.0,0.0,0.0,0.0
p047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2857142857,-100.0,-100.0,37.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686746988,73.4939759036,49.3975903614,-58.7951807229,0.0,0.0,0.0,0.0
p048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.69879518072,-3.13253012048,28.1927710843,9.30120481928,0.0,0.0,0.0,0.0
p049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.1584948689,24.5153933865,22.2348916762,23.6944127708,0.0,0.0,0.0,0.0
p050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-100.0,-100.0,140.0,2.01503759398,40.7518796992,7.06766917293,-9.77443609023,0.0,0.0,0.0,0.0
p051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700116686114,75.0291715286,35.3558926488,-27.747957993,0.0,0.0,0.0,0.0
p052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.450867052,24.8554913295,81.5028901734,1.96531791908,0.0,0.0,0.0,0.0
