,ang,ang,fea,fea,ntr,ntr,sad,sad,sup,sup,hap,hap,dis,dis
,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25
,,,,,,,,,,,,,,
p061,0.0,0.0,0.0,0.0,-0.125680770842,0.879765395894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p062,0.0,0.0,0.0,0.0,-5.81280788177,40.6896551724,4.7619047619,-33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
p063,0.0,0.0,-3.11986863711,21.8390804598,-4.36507936508,30.5555555556,-23.8095238095,166.666666667,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p064,0.0,0.0,0.0,0.0,-0.856241550248,5.99369085174,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
p065,0.0,0.0,7.08661417323,-49.6062992126,-3.31226295828,23.185840708,0.0,0.0,-3.2967032967,23.0769230769,0.0,0.0,0.0,0.0
p066,0.0,0.0,-4.7619047619,33.3333333333,8.37438423645,-58.6206896552,-7.66319772942,53.642384106,0.0,0.0,0.0,0.0,-4.7619047619,33.3333333333
p068,0.0,0.0,1.5873015873,-11.1111111111,-12.6478616924,88.5350318471,5.49450549451,-38.4615384615,-3.2967032967,23.0769230769,14.2857142857,-100.0,0.0,0.0
p069,0.0,0.0,-31.4285714286,220.0,3.22580645161,-22.5806451613,0.0,0.0,0.0,0.0,0.0,0.0,-42.8571428571,300.0
p070,0.0,0.0,3.8961038961,-27.2727272727,-8.51370851371,59.595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p071,0.0,0.0,0.0807102502018,-0.564971751412,-1.03092783505,7.21649484536,-2.04081632653,14.2857142857,0.0,0.0,0.0,0.0,-20.0,140.0
p072,0.0,0.0,0.0,0.0,-5.51335456996,38.5934819897,0.516351118761,-3.61445783133,0.0,0.0,0.0,0.0,0.0,0.0
p073,0.0,0.0,0.0,0.0,-3.78151260504,26.4705882353,0.0,0.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p074,0.0,0.0,0.0,0.0,-9.2809629395,64.9667405765,-0.952380952381,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0
p075,0.0,0.0,-23.8095238095,166.666666667,12.6530612245,-88.5714285714,-11.5589804386,80.9128630705,0.0,0.0,0.0,0.0,0.0,0.0
p076,0.0,0.0,0.0,0.0,-3.50727117194,24.5508982036,0.0,0.0,2.85714285714,-20.0,0.0,0.0,0.0,0.0
p077,0.0,0.0,0.0,0.0,-15.1020408163,105.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p078,0.0,0.0,0.0,0.0,-12.1693121693,85.1851851852,8.94526034713,-62.6168224299,14.2857142857,-100.0,-4.7619047619,33.3333333333,0.0,0.0
p079,0.0,0.0,-14.2857142857,100.0,5.68356374808,-39.7849462366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p080,0.0,0.0,6.66666666667,-46.6666666667,-13.7959183673,96.5714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p081,0.0,0.0,0.0,0.0,-11.572226656,81.0055865922,-1.84049079755,12.8834355828,0.0,0.0,0.0,0.0,0.0,0.0
p082,0.0,0.0,-31.4285714286,220.0,-8.72879272191,61.1015490534,-8.29769033362,58.0838323353,0.0,0.0,0.0,0.0,0.0,0.0
p083,0.0,0.0,-4.11622276029,28.813559322,-11.4084978254,79.8594847775,5.49450549451,-38.4615384615,-6.79611650485,47.572815534,0.0,0.0,0.0,0.0
p084,0.0,0.0,-13.8014527845,96.6101694915,-3.10559006211,21.7391304348,0.0,0.0,0.0,0.0,0.0,0.0,-14.2857142857,100.0
p085,0.0,0.0,0.0,0.0,-8.47658565501,59.3360995851,4.7619047619,-33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
p086,0.0,0.0,0.0,0.0,2.46305418719,-17.2413793103,14.2857142857,-100.0,14.2857142857,-100.0,0.0,0.0,-3.2967032967,23.0769230769
p087,0.0,0.0,-14.2857142857,100.0,-19.6200219218,137.340153453,11.5318416523,-80.7228915663,0.0,0.0,0.0,0.0,0.0,0.0
p088,0.0,0.0,0.0,0.0,-4.0740081836,28.5180572852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p089,0.0,0.0,0.0,0.0,-0.702576112412,4.91803278689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p090,0.0,0.0,-10.0374843815,70.2623906706,13.375071144,-93.625498008,-7.66319772942,53.642384106,0.0,0.0,0.0,0.0,0.0,0.0
p091,0.0,0.0,0.0,0.0,3.19660537482,-22.3762376238,0.0,0.0,-4.7619047619,33.3333333333,0.0,0.0,0.0,0.0
p092,0.0,0.0,-8.57142857143,60.0,-15.569823435,108.988764045,-6.49350649351,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0
p093,0.0,0.0,-14.2857142857,100.0,1.68224299065,-11.7757009346,-1.11448834853,7.80141843972,0.0,0.0,0.0,0.0,0.0,0.0
p094,0.0,0.0,0.0,0.0,2.91545189504,-20.4081632653,3.8961038961,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0
p095,0.0,0.0,0.0,0.0,-4.5279045279,31.6953316953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p096,0.0,0.0,-12.2736418511,85.9154929577,-12.6596980256,88.6178861789,-1.32708821233,9.28961748634,0.0,0.0,0.0,0.0,0.0,0.0
