,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p028,22.2929936306,-100.0,-100.0,1.91082802548,-69.4267515924,-7.83410138249,90.4761904762,71.4285714286,-32.2751322751,65.0793650794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28758884636,-72.8813559322,52.5423728814,-68.3615819209,103.389830508,16.1290322581,100.0,50.0,-33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0
p029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.5217391304,53.0434782609,14.7826086957,43.768115942,-100.0,34.1935483871,6.66666666667,60.0,-100.0,-100.0,-13.3748349368,77.7777777778,59.0643274854,-28.2651072125,121.442495127,-22.5806451613,-100.0,100.0,77.7777777778,-100.0,-48.3870967742,166.666666667,-100.0,77.7777777778,166.666666667
p030,-4.71464019851,-10.4895104895,-32.8671328671,15.6177156177,79.020979021,0.738437621454,-22.8915662651,87.9518072289,-55.0200803213,73.4939759036,0.0,0.0,0.0,0.0,0.0,12.6099706745,-100.0,-100.0,45.4545454545,-100.0,-3.51183855077,14.2857142857,-26.1083743842,-36.9458128079,164.039408867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p031,0.0,0.0,0.0,0.0,0.0,-8.45799361928,23.0769230769,39.7802197802,-0.3663003663,19.5604395604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.3211532972,161.946902655,128.318584071,-5.60471976401,84.0707964602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p032,0.0,0.0,0.0,0.0,0.0,-4.39489066898,7.38255033557,-19.4630872483,-6.93512304251,71.8120805369,8.38709677419,220.0,20.0,-46.6666666667,-100.0,0.0,0.0,0.0,0.0,0.0,-26.0284706804,-54.6558704453,16.5991902834,-7.15249662618,301.619433198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,-69.0322580645,-100.0,140.0,220.0,-100.0,-7.09677419355,113.333333333,60.0,-28.8888888889,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.50978838076,-44.9631449631,-5.65110565111,8.76330876331,61.1793611794,-22.5806451613,300.0,200.0,33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0
p034,-2.81400137268,87.2340425532,40.4255319149,36.170212766,-100.0,-29.2458876308,80.1324503311,90.7284768212,41.2803532009,-4.6357615894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19602977667,-100.0,-100.0,23.0769230769,23.0769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p035,-22.5806451613,-100.0,20.0,113.333333333,-100.0,-22.5806451613,-100.0,-100.0,60.0,220.0,20.4301075269,-100.0,33.3333333333,-40.7407407407,-100.0,0.0,0.0,0.0,0.0,0.0,7.71388499299,-43.0830039526,-57.3122529644,-36.7588932806,140.316205534,35.4838709677,-100.0,-100.0,-33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,0.0,8.27067669173,-57.8947368421,-41.3533834586,-39.8496240602,92.4812030075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4846577498,-100.0,-36.5853658537,-37.1273712737,147.154471545,0.0,0.0,0.0,0.0,0.0,-7.09677419355,113.333333333,60.0,6.66666666667,-100.0
p037,0.0,0.0,0.0,0.0,0.0,-8.64516129032,-100.0,-88.0,22.6666666667,172.0,0.0,0.0,0.0,0.0,0.0,-5.99078341014,-61.9047619048,-71.4285714286,52.380952381,33.3333333333,-4.08221524408,20.3539823009,22.1238938053,-3.24483775811,55.7522123894,-4.88479262673,-54.2857142857,122.857142857,-0.952380952381,-100.0,23.8709677419,-100.0,-40.0,-20.0,-100.0
p038,0.0,0.0,0.0,0.0,0.0,-29.2403746098,72.0430107527,106.451612903,26.164874552,80.6451612903,0.0,0.0,0.0,0.0,0.0,3.22580645161,77.7777777778,33.3333333333,-40.7407407407,77.7777777778,9.52006294256,-60.9756097561,-56.0975609756,-34.9593495935,75.6097560976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,0.0,0.0,2.46679316888,-52.9411764706,-47.0588235294,-5.88235294118,88.2352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.3135622615,-54.1218637993,-65.5913978495,56.7502986858,77.7777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p040,0.0,0.0,0.0,0.0,0.0,-16.1443567543,82.4228028504,65.3206650831,17.8147268409,21.6152019002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.1827956989,-100.0,33.3333333333,77.7777777778,77.7777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,-22.5806451613,-100.0,-100.0,166.666666667,-100.0,-4.8581422464,25.3012048193,51.8072289157,-10.0401606426,44.578313253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.3844454264,26.0273972603,23.2876712329,-57.9908675799,245.205479452,0.0,0.0,0.0,0.0,0.0,-2.81400137268,-14.8936170213,65.9574468085,24.8226950355,-100.0
