,ang,ang,fea,fea,ntr,ntr,sad,sad,sup,sup,hap,hap,dis,dis
,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25
,,,,,,,,,,,,,,
p077,0.0,0.0,0.0,0.0,-13.4693877551,94.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p078,0.0,0.0,0.0,0.0,-3.42703118983,23.9892183288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p079,0.0,0.0,0.0,0.0,0.0740192450037,-0.518134715026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p080,0.0,0.0,0.0,0.0,-7.28971962617,51.0280373832,3.8961038961,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0
p081,0.0,0.0,0.0,0.0,-0.110172603746,0.771208226221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p082,0.0,0.0,0.0,0.0,4.40251572327,-30.8176100629,-42.8571428571,300.0,-8.57142857143,60.0,0.0,0.0,0.0,0.0
p083,0.0,0.0,0.0,0.0,1.14285714286,-8.0,-26.1637239165,183.146067416,3.8961038961,-27.2727272727,0.0,0.0,0.0,0.0
p084,0.0,0.0,0.0,0.0,0.36729170694,-2.57104194858,1.5873015873,-11.1111111111,0.0,0.0,0.0,0.0,2.85714285714,-20.0
p085,0.0,0.0,0.0,0.0,-0.504201680672,3.52941176471,-16.8831168831,118.181818182,0.0,0.0,0.0,0.0,0.0,0.0
p086,0.0,0.0,0.0,0.0,-12.4738675958,87.3170731707,0.0,0.0,0.0,0.0,0.0,0.0,14.2857142857,-100.0
p087,0.0,0.0,-8.57142857143,60.0,-16.6448230668,116.513761468,1.0989010989,-7.69230769231,0.0,0.0,0.0,0.0,0.0,0.0
p088,0.0,0.0,5.49450549451,-38.4615384615,1.98830409357,-13.918128655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p089,0.0,0.0,0.0,0.0,-3.33145115754,23.3201581028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p090,0.0,0.0,0.0,0.0,-0.0198688654878,0.139082058414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p091,0.0,0.0,0.0,0.0,-11.6692830979,81.684981685,-16.8831168831,118.181818182,0.0,0.0,0.0,0.0,0.0,0.0
p092,0.0,0.0,2.85714285714,-20.0,-10.7296137339,75.1072961373,-31.4285714286,220.0,0.0,0.0,0.0,0.0,3.8961038961,-27.2727272727
p093,0.0,0.0,4.7619047619,-33.3333333333,-2.27527042148,15.9268929504,0.0,0.0,-28.5714285714,200.0,0.0,0.0,0.0,0.0
p094,0.0,0.0,0.0,0.0,-3.61445783133,25.3012048193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p095,0.0,0.0,0.0,0.0,-11.3058720421,79.1411042945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p096,0.0,0.0,0.0,0.0,7.78213472499e-15,4.73695157173e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
