,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p033,0.0,0.0,0.0,0.0,0.0,-19.6451566748,-50.2074688797,7.55186721992,34.4398340249,114.107883817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05952610287,-26.2569832402,-67.8212290503,12.2905027933,57.5418994413,18.2266009852,71.4285714286,37.1428571429,-14.2857142857,-100.0,-21.5970961887,89.4736842105,-100.0,121.052631579,-100.0
p034,65.5172413793,-100.0,-100.0,-100.0,-100.0,-23.0929989551,21.2121212121,-3.0303030303,21.2121212121,178.787878788,0.0,0.0,0.0,0.0,0.0,10.3448275862,-100.0,-100.0,0.0,100.0,-14.2644505086,-22.3021582734,58.8489208633,-61.1510791367,202.158273381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p035,0.0,0.0,0.0,0.0,0.0,-15.6798959011,35.8490566038,-41.1320754717,27.358490566,41.5094339623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.922778047596,1.40845070423,-52.676056338,-2.81690140845,52.1126760563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,0.0,-30.86627418,68.2926829268,17.0731707317,-4.87804878049,141.463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44605116796,-48.3870967742,85.8064516129,-67.7419354839,29.0322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,0.0,-0.351864883885,-38.7755102041,-26.5306122449,22.4489795918,28.5714285714,0.0,0.0,0.0,0.0,0.0,-9.92258972555,22.4489795918,-44.4897959184,40.8163265306,-26.5306122449,0.832342449465,-100.0,-11.724137931,31.0344827586,-3.44827586207,0.0,0.0,0.0,0.0,0.0,-9.71786833856,118.181818182,-12.7272727273,9.09090909091,-100.0
p038,0.0,0.0,0.0,0.0,0.0,-10.6029872764,-64.7058823529,-17.8609625668,15.5080213904,86.0962566845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.71786833856,227.272727273,161.818181818,-45.4545454545,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,0.0,0.0,3.24342779105,-40.5940594059,-33.4653465347,-22.7722772277,107.920792079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2413793103,-100.0,12.9411764706,23.5294117647,111.764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p040,0.0,0.0,0.0,0.0,0.0,-7.4801061008,-44.6153846154,-60.6153846154,-9.23076923077,143.076923077,0.0,0.0,0.0,0.0,0.0,10.3448275862,-100.0,60.0,0.0,-100.0,20.7828518173,-2.7027027027,-22.1621621622,-78.3783783784,83.7837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,0.0,0.0,0.0,0.0,0.0,-16.1024992091,1.83486238532,-18.5321100917,-0.917431192661,128.440366972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.87900997237,-66.5505226481,20.4181184669,-33.1010452962,155.052264808,0.0,0.0,0.0,0.0,0.0,-37.9310344828,50.0,20.0,125.0,50.0
p042,0.0,0.0,0.0,0.0,0.0,2.54155790631,-35.4581673307,-59.8406374502,13.5458167331,52.9880478088,10.3448275862,100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,-22.7586206897,220.0,156.0,-60.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
