,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4,nan,AU25+29,AU7,AU4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p064,1.70058544745,-80.5010155721,127.488151659,72.2410291131,-27.1347248577,32.7188940092,74.1935483871,99.0783410138,0.0,0.0,0.0,0.0,-31.0754604872,29.2929292929,110.101010101,121.645021645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p065,-7.47511312217,16.043956044,7.07692307692,20.2637362637,9.29791271347,21.6589861751,-100.0,-66.8202764977,17.6470588235,14.2857142857,-100.0,-100.0,-5.88235294118,-11.1111111111,11.1111111111,39.6825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26244343891,-47.2527472527,-7.69230769231,58.2417582418
p066,-31.0282891783,20.3925845147,165.648854962,130.316248637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32911392405,-21.8806509946,-39.2405063291,-8.86075949367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.9946524064,87.012987013,-100.0,24.6753246753
p068,-7.28709394205,4.90405117271,97.0149253731,30.4904051173,-4.49826989619,121.848739496,-100.0,-100.0,0.0,0.0,0.0,0.0,8.87337986042,-41.8886198547,72.8813559322,-1.21065375303,12.9411764706,-31.4285714286,-100.0,-31.4285714286,15.5080213904,-100.0,-100.0,24.6753246753,5.88235294118,-100.0,0.0,71.4285714286
p069,-10.9592384672,-0.414937759336,84.2323651452,53.6455245999,-16.4871582436,126.961770624,-100.0,-46.8812877264,0.0,0.0,0.0,0.0,0.919117647059,-57.1428571429,96.875,52.6785714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.4117647059,242.857142857,-100.0,-100.0
p070,-15.2941176471,-31.4285714286,20.0,105.714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.8005803218,1.4734144779,142.152466368,75.2722613709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.1221719457,58.2417582418,84.6153846154,5.49450549451
p071,-23.334631866,77.1050141911,50.9933774834,36.2346263009,-9.24369747899,-2.04081632653,157.142857143,46.9387755102,0.0,0.0,0.0,0.0,-21.568627451,-9.95670995671,203.03030303,114.718614719,-5.88235294118,128.571428571,-100.0,-100.0,0.0,0.0,0.0,0.0,-32.4064171123,78.7012987013,212.727272727,78.7012987013
p072,-3.70278637771,-32.1503759398,64.2105263158,50.1353383459,0.0,0.0,0.0,0.0,5.88235294118,71.4285714286,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8902619871,3.72148859544,-49.5798319328,-71.1884753902
p073,-0.71105365223,-66.0910518053,143.956043956,69.5447409733,0.0,0.0,0.0,0.0,20.0480192077,-58.0174927114,-100.0,-39.3586005831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.00951039098,56.0307955518,22.1556886228,-21.9846022241
p074,-9.95831403428,-2.81214848144,88.9763779528,51.1811023622,0.0,0.0,0.0,0.0,-16.742081448,49.4505494505,7.69230769231,31.8681318681,-3.86996904025,12.7819548872,85.5263157895,6.01503759398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
